Input Data,

,
Material Data,

,
matID,Soft PE80
density,938
eDyn0degC,2.62
dEdyndT,-0.037
creepModulus,0.3
poisson,0.38

,
Pipe Data,

,
pipeID,250mm_SDR11
diameter,250
sdr,11
notchDepth,0
diameterCreepRatio,1

,
Test Setup Data,

,
fullScale,2
tempDegC,0
p0bar,5
isBackfilled,2
backfillDepth,100
backfillDensity,2200
solidInsidePipe,0.25
waterInsidePipe,0.25

,
Program Control Data,

,
outflowModelOn,2
lambda,3
solutionmethod,2
numberOfSpeedValues,50
elementsInL,10
aDotc0,0.5

,
Log number,aDotc0,Irwin Corten Force,diameterRes0,residualCrackClosure,densityratio,zetaclosure,nodeAtClosure,outflowLength,p1bar,v0,vStarRes,factor,aDotCLfactor,aDotcClfactor_backfilled,maxIterations,iterations,m[0],m[1],alpha[0],alpha[1],error,notConverged,pStarUnchoke,xUnch,pHalfStar,pStar,tStar,tStarUnchoke,simpsonIntegral,unchoked,tStarOutflow2
27,0.02,0.689812,250,0,12.589,2,39,2.63092,0.721942,0.103844,0,1.33413,1.00002,1.0002,50,14,3.90899,3.9097,0.735222,0.712599,0.00406483,1,1.89293,1.09545,1.36097,0.998129,0.650829,0,0.691947,0,2.12196e-314
28,0.02,0.689812,250,0,12.589,2,39,2.63092,0.721942,0.103844,0,1.33413,1.00002,1.0002,50,14,3.90899,3.9097,0.735222,0.712599,0.00406483,1,1.89293,1.09545,1.36097,1.72194,0,0,0,1,2.12196e-314
29,0.02,0.689812,250,0,12.589,2,39,2.63092,0.721942,0.103844,0,1.33413,1.00002,1.0002,50,14,3.90899,3.9097,0.735222,0.712599,0.00406483,1,1.89293,1.09545,1.36097,0.998129,0.650829,0,0.691947,1,2.12196e-314
30,0.02,0.689812,250,0,12.589,2,39,2.54788,0.721942,0.0913425,0,1.33413,1.00002,1.0002,50,15,3.90899,3.9097,0.735222,0.712599,0.00406483,0,1.89293,1.09545,1.36097,0.998129,0.650829,0,0.691947,1,2.12196e-314
 
1,0,0,0,0,12.589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0.689812,0,0,12.589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0.689812,250,0,12.589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.04,0.689812,250,0,12.589,2,20,3,0.770542,0.187384,0,2.49997,1.00006,1.00079,50,15,3.90899,3.9097,0.735222,0.712599,0.00406483,0,0,0,0,0,0,0,0,0,0
5,0.04,0.689812,250,0,12.589,2,20,3,0.770542,0.187384,0,2.49997,1.00006,1.00079,50,0,6.6049,6.60967,0.917413,0.819324,0,1,0,0,0,0,0,0,0,0,0
6,0.04,0.689812,250,0,12.589,2,23,3,0.770542,0.187384,0,2.49997,1.00006,1.00079,50,1,6.6049,6.60967,0.917413,0.819324,0.196516,1,0,0,0,0,0,0,0,0,0
